[19-07-10 05:29:04:061 PDT] Date;Organic Traffic
[19-07-10 05:29:21:663 PDT] Date;Organic Traffic
20190615;2735
20190515;1429
20190415;1260
20190315;1496
20190215;1729
20190115;1411
20181215;1588
20181115;2781
20181015;1418
20180915;1435
20180815;1280
20180715;1669
20180615;1222
20180515;913
20180415;962
20180315;832
20180215;689
20180115;441
20171215;179
20171115;192
20171015;329
20170915;296
20170815;355
20170715;471

[19-07-10 05:29:22:229 PDT] Date;Organic Traffic
20190615;1552
20190515;1530
20190415;1174
20190315;1321
20190215;1206
20190115;1128
20181215;1504
20181115;1396
20181015;1538
20180915;1256
20180815;1179
20180715;1124
20180615;1051
20180515;1025
20180415;1140
20180315;1064
20180215;1247
20180115;1417
20171215;2002
20171115;1982
20171015;1938
20170915;2103
20170815;2109
20170715;1211

[19-07-10 05:29:22:624 PDT] Date;Organic Traffic
20151215;2
20151115;2
20151015;4
20150915;8
20150815;5
20150715;5
20150615;17
20150515;27
20150415;8
20150315;9
20150215;17
20150115;9
20141215;6
20141115;36
20141015;88
20140915;99
20140815;62
20140715;118
20140615;137
20140515;33
20140415;46
20140315;3
20140215;13
20140115;3

[19-07-10 05:29:23:007 PDT] Date;Organic Traffic
20190615;60
20190515;2
20190415;0
20190315;0
20190215;1
20190115;3
20181215;0
20181115;1
20181015;0
20180915;0
20180815;2
20180715;3
20180615;130
20180515;50
20180415;40
20180315;40
20180215;50
20180115;6
20171215;13
20171115;65
20171015;32
20170915;55
20170815;43
20170715;16

[19-07-10 05:29:23:469 PDT] Date;Organic Traffic
20190615;0
20190515;0
20190415;0
20190315;0
20190215;0
20190115;0
20181215;0
20181115;0

[19-07-10 05:29:23:980 PDT] Date;Organic Traffic
20190615;10897
20190515;7820
20190415;8114
20190315;8773
20190215;13071
20190115;13478
20181215;9748
20181115;13361
20181015;11781
20180915;9406
20180815;9310
20180715;8556
20180615;8537
20180515;8679
20180415;8466
20180315;8445
20180215;8072
20180115;7463
20171215;8906
20171115;8338
20171015;8404
20170915;7972
20170815;8536
20170715;9228

[19-07-10 05:29:24:489 PDT] Date;Organic Traffic
20190615;114
20190515;185
20190415;184
20190315;185
20190215;184
20190115;185
20181215;184
20181115;184
20181015;184
20180915;184
20180815;184
20180715;187
20180615;186
20180515;185
20180415;186
20180315;186
20180215;185
20180115;112
20171215;113
20171115;113
20171015;112
20170915;112
20170815;112
20170715;96

[19-07-10 05:29:25:055 PDT] Date;Organic Traffic
20190615;16161
20190515;13047
20190415;12395
20190315;13487
20190215;14171
20190115;13448
20181215;12971
20181115;14140
20181015;15806
20180915;15398
20180815;16093
20180715;10398
20180615;10243
20180515;10211
20180415;10656
20180315;11039
20180215;12764
20180115;13182
20171215;24898
20171115;24546
20171015;24569
20170915;24121
20170815;23683
20170715;23885

[19-07-10 05:29:25:751 PDT] Date;Organic Traffic
20190615;38
20190515;67
20190415;54
20190315;54
20190215;53
20190115;54
20181215;59
20181115;42
20181015;63
20180915;66
20180815;64
20180715;61
20180615;64
20180515;62
20180415;61
20180315;61
20180215;76
20180115;2
20171215;4
20171115;0
20171015;3
20170915;5
20170815;3
20170715;0

[19-07-10 05:29:26:311 PDT] Date;Organic Traffic
20190615;955
20190515;1025
20190415;1363
20190315;1014
20190215;985
20190115;906
20181215;1001
20181115;866
20181015;871
20180915;950
20180815;1029
20180715;1378
20180615;1372
20180515;1334
20180415;1253
20180315;1249
20180215;957
20180115;1428
20171215;963
20171115;1052
20171015;1101
20170915;1121
20170815;1286
20170715;1203

[19-07-10 05:29:26:733 PDT] Date;Organic Traffic
20190615;0
20190515;0
20190415;0
20190315;0
20190215;0
20190115;0
20181215;0
20181115;0
20181015;1
20180915;1
20180815;1
20180715;0
20180615;0
20180515;0
20180415;0
20180315;0
20180215;0
20180115;0
20171215;0
20171115;0
20171015;0
20170915;0
20170815;0
20170715;0

[19-07-10 05:29:27:275 PDT] Date;Organic Traffic
20190615;6
20190515;7
20190415;3
20190315;3
20190215;5
20190115;14
20181215;3
20181115;6
20181015;52
20180915;38
20180815;28
20180715;77
20180615;27
20180515;28
20180415;32
20180315;27
20180215;42
20180115;26
20171215;47
20171115;55
20171015;39
20170915;40
20170815;25
20170715;30

[19-07-10 05:29:27:902 PDT] Date;Organic Traffic
20190615;4185
20190515;3493
20190415;3087
20190315;2754
20190215;2525
20190115;2784
20181215;3048
20181115;2879
20181015;3263
20180915;3564
20180815;4302
20180715;2697
20180615;2643
20180515;2559
20180415;2955
20180315;2798
20180215;2741
20180115;3157
20171215;3099
20171115;3388
20171015;3083
20170915;3127
20170815;2507
20170715;2009

[19-07-10 05:29:28:566 PDT] Date;Organic Traffic
20190615;8
20190515;24
20190415;19
20190315;2
20190215;0
20190115;0
20181215;0
20181115;0
20181015;0
20180915;0
20180815;0
20180715;0

[19-07-10 05:29:29:487 PDT] Date;Organic Traffic
20190615;963
20190515;829
20190415;755
20190315;790
20190215;763
20190115;761
20181215;764
20181115;760
20181015;780
20180915;767
20180815;784
20180715;831
20180615;823
20180515;828
20180415;901
20180315;894
20180215;960
20180115;1160
20171215;1188
20171115;941
20171015;1368
20170915;1359
20170815;1194
20170715;1228

[19-07-10 05:29:29:956 PDT] Date;Organic Traffic
20190615;10889
20190515;9100
20190415;8804
20190315;9038
20190215;9624
20190115;9382
20181215;9575
20181115;8884
20181015;9469
20180915;9146
20180815;9318
20180715;8441
20180615;9217
20180515;8404
20180415;8817
20180315;8332
20180215;8360
20180115;7803
20171215;6306
20171115;5802
20171015;6356
20170915;6368
20170815;6253
20170715;6035

[19-07-10 05:29:30:544 PDT] Date;Organic Traffic
20190615;15
20190515;12
20190415;16
20190315;16
20190215;38
20190115;36
20181215;38
20181115;38
20181015;35
20180915;36
20180815;36
20180715;50
20180615;46
20180515;45
20180415;43
20180315;46
20180215;48
20180115;13
20171215;37
20171115;26
20171015;25
20170915;25
20170815;40
20170715;35

[19-07-10 05:29:30:959 PDT] Date;Organic Traffic
20190615;17990
20190515;17274
20190415;18895
20190315;18845
20190215;17846
20190115;18603
20181215;17039
20181115;18624
20181015;21660
20180915;23722
20180815;22470
20180715;19646
20180615;19446
20180515;19540
20180415;19430
20180315;18060
20180215;19454
20180115;23233
20171215;22442
20171115;20514
20171015;21463
20170915;21270
20170815;21584
20170715;20018

[19-07-10 05:29:31:578 PDT] Date;Organic Traffic
20190615;9104
20190515;4077
20190415;3989
20190315;4540
20190215;3276
20190115;2997
20181215;2991
20181115;2440
20181015;2435
20180915;1707
20180815;1272
20180715;994
20180615;629
20180515;606
20180415;630
20180315;568
20180215;450
20180115;359
20171215;297
20171115;362
20171015;293
20170915;257
20170815;217
20170715;220

[19-07-10 05:29:31:988 PDT] Date;Organic Traffic
20190615;4641
20190515;4696
20190415;5302
20190315;5225
20190215;5087
20190115;5006
20181215;4581
20181115;4961
20181015;5157
20180915;4876
20180815;5171
20180715;4831
20180615;4981
20180515;5014
20180415;5409
20180315;4779
20180215;4537
20180115;4503
20171215;4779
20171115;4276
20171015;4341
20170915;4280
20170815;4668
20170715;4275

[19-07-10 05:29:32:438 PDT] Date;Organic Traffic
20190615;174
20190515;163
20190415;130
20190315;492
20190215;156
20190115;156
20181215;154
20181115;147
20181015;137
20180915;176
20180815;140
20180715;150
20180615;160
20180515;163
20180415;162
20180315;159
20180215;145
20180115;134
20171215;516
20171115;540
20171015;515
20170915;500
20170815;510
20170715;510

[19-07-10 05:29:32:928 PDT] Date;Organic Traffic
20190615;1578
20190515;1181
20190415;1104
20190315;1152
20190215;969
20190115;1081
20181215;1147
20181115;1238
20181015;1029
20180915;1243
20180815;1165
20180715;1302
20180615;1339
20180515;1174
20180415;1194
20180315;1096
20180215;1063
20180115;1054
20171215;1615
20171115;1585
20171015;1588
20170915;1657
20170815;1711
20170715;1615

[19-07-10 05:29:33:515 PDT] Date;Organic Traffic
20190615;427
20190515;363
20190415;333
20190315;334
20190215;260
20190115;461
20181215;546
20181115;507
20181015;549
20180915;489
20180815;605
20180715;584
20180615;515
20180515;506
20180415;520
20180315;611
20180215;471
20180115;603
20171215;1252
20171115;1092
20171015;1112
20170915;1158
20170815;1056
20170715;1205

[19-07-10 05:29:34:185 PDT] Date;Organic Traffic
20190615;4494
20190515;2551
20190415;3255
20190315;2886
20190215;1727
20190115;1844
20181215;1850
20181115;1777
20181015;1923
20180915;1986
20180815;1694
20180715;1882
20180615;1567
20180515;1595
20180415;1535
20180315;1534
20180215;1459
20180115;1483
20171215;2597
20171115;2508
20171015;1876
20170915;2536
20170815;2403
20170715;2086

[19-07-10 05:29:34:753 PDT] Date;Organic Traffic
20190615;4152
20190515;4182
20190415;4137
20190315;4319
20190215;5317
20190115;5558
20181215;5360
20181115;5091
20181015;5158
20180915;6364
20180815;6599
20180715;6509
20180615;5852
20180515;5529
20180415;5454
20180315;5270
20180215;4984
20180115;5147
20171215;4919
20171115;4604
20171015;4499
20170915;4120
20170815;4451
20170715;4731

[19-07-10 05:29:35:298 PDT] Date;Organic Traffic
20190615;7350
20190515;5425
20190415;4764
20190315;5198
20190215;4702
20190115;4446
20181215;4654
20181115;4306
20181015;4419
20180915;4902
20180815;5048
20180715;5176
20180615;4177
20180515;4126
20180415;3875
20180315;4006
20180215;4532
20180115;4014
20171215;4154
20171115;3873
20171015;3982
20170915;4191
20170815;4051
20170715;3964

[19-07-10 05:29:35:854 PDT] Date;Organic Traffic
20190615;4684
20190515;4255
20190415;4332
20190315;4525
20190215;4282
20190115;4163
20181215;4976
20181115;4541
20181015;4722
20180915;4885
20180815;4977
20180715;4676
20180615;4509
20180515;4686
20180415;4842
20180315;4784
20180215;5894
20180115;5284
20171215;5198
20171115;5423
20171015;5093
20170915;5073
20170815;5046
20170715;4857

[19-07-10 05:29:36:595 PDT] Date;Organic Traffic
20190615;1015
20190515;693
20190415;725
20190315;787
20190215;588
20190115;591
20181215;575
20181115;2405
20181015;611
20180915;710
20180815;684
20180715;886
20180615;761
20180515;754
20180415;837
20180315;701
20180215;654
20180115;766
20171215;636
20171115;595
20171015;552
20170915;577
20170815;622
20170715;659

[19-07-10 05:29:37:238 PDT] Date;Organic Traffic
20190615;491
20190515;418
20190415;499
20190315;625
20190215;740
20190115;543
20181215;351
20181115;275
20181015;512
20180915;487
20180815;404
20180715;632
20180615;631
20180515;619
20180415;647
20180315;552
20180215;554
20180115;559
20171215;526
20171115;578
20171015;707
20170915;345
20170815;596
20170715;341

[19-07-10 05:29:37:600 PDT] Date;Organic Traffic
20190615;0
20190515;42
20190415;42
20190315;43
20190215;44
20190115;44
20181215;44
20181115;44
20181015;42
20180915;43
20180815;43
20180715;6
20180615;4
20180515;4
20180415;4
20180315;5
20180215;5
20180115;0
20171215;0
20171115;0
20171015;1
20170915;1
20170815;1
20170715;1
